
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 40000000, 1000, 2.56692
jkcampbe, <unknown>, 2, 40000000, 900, 2.57332
jkcampbe, <unknown>, 2, 40000000, 800, 2.57969
jkcampbe, <unknown>, 2, 40000000, 700, 2.57751
jkcampbe, <unknown>, 2, 40000000, 600, 2.58242
jkcampbe, <unknown>, 2, 40000000, 500, 2.59433
jkcampbe, <unknown>, 2, 40000000, 400, 2.60215
jkcampbe, <unknown>, 2, 40000000, 300, 2.627
jkcampbe, <unknown>, 2, 40000000, 200, 2.64446
jkcampbe, <unknown>, 2, 40000000, 100, 2.69617
jkcampbe, <unknown>, 2, 40000000, 90, 2.70911
jkcampbe, <unknown>, 2, 40000000, 80, 2.72549
jkcampbe, <unknown>, 2, 40000000, 70, 2.74609
jkcampbe, <unknown>, 2, 40000000, 60, 2.78154
jkcampbe, <unknown>, 2, 40000000, 50, 2.79625
jkcampbe, <unknown>, 2, 40000000, 40, 2.84603
jkcampbe, <unknown>, 2, 40000000, 30, 2.93101
jkcampbe, <unknown>, 2, 40000000, 20, 3.08687
jkcampbe, <unknown>, 2, 40000000, 10, 3.74145
jkcampbe, <unknown>, 2, 40000000, 9, 3.91256
jkcampbe, <unknown>, 2, 40000000, 8, 4.05923
jkcampbe, <unknown>, 2, 40000000, 7, 4.33102
jkcampbe, <unknown>, 2, 40000000, 6, 4.76708
jkcampbe, <unknown>, 2, 40000000, 5, 5.44563
jkcampbe, <unknown>, 2, 40000000, 4, 6.31141
jkcampbe, <unknown>, 2, 40000000, 3, 8.26193
jkcampbe, <unknown>, 2, 40000000, 2, 12.5142
jkcampbe, <unknown>, 2, 40000000, 1, 12.8072
