
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 10000000, 1000, 1.67109, 15.3618
jkcampbe, <unknown>, 1, 10000000, 900, 1.63649, 15.365
jkcampbe, <unknown>, 1, 10000000, 800, 1.67552, 15.3612
jkcampbe, <unknown>, 1, 10000000, 700, 1.67418, 15.3628
jkcampbe, <unknown>, 1, 10000000, 600, 1.61899, 15.3779
jkcampbe, <unknown>, 1, 10000000, 500, 1.63849, 15.3752
jkcampbe, <unknown>, 1, 10000000, 400, 1.67206, 15.3797
jkcampbe, <unknown>, 1, 10000000, 300, 1.67309, 15.4026
jkcampbe, <unknown>, 1, 10000000, 200, 1.60101, 15.399
jkcampbe, <unknown>, 1, 10000000, 100, 1.65841, 15.4388
jkcampbe, <unknown>, 1, 10000000, 90, 1.67428, 15.4398
jkcampbe, <unknown>, 1, 10000000, 80, 1.66713, 15.4477
jkcampbe, <unknown>, 1, 10000000, 70, 1.62995, 15.5082
jkcampbe, <unknown>, 1, 10000000, 60, 1.6753, 15.5108
jkcampbe, <unknown>, 1, 10000000, 50, 1.67443, 15.5087
jkcampbe, <unknown>, 1, 10000000, 40, 1.64825, 15.5058
jkcampbe, <unknown>, 1, 10000000, 30, 1.61132, 15.5821
jkcampbe, <unknown>, 1, 10000000, 20, 1.67226, 15.5924
jkcampbe, <unknown>, 1, 10000000, 10, 1.67124, 15.729
jkcampbe, <unknown>, 1, 10000000, 9, 1.64927, 15.763
jkcampbe, <unknown>, 1, 10000000, 8, 1.64594, 15.7621
jkcampbe, <unknown>, 1, 10000000, 7, 1.67472, 15.7745
jkcampbe, <unknown>, 1, 10000000, 6, 1.67041, 15.7726
jkcampbe, <unknown>, 1, 10000000, 5, 1.64881, 16.0811
jkcampbe, <unknown>, 1, 10000000, 4, 1.67464, 16.1254
jkcampbe, <unknown>, 1, 10000000, 3, 1.80634, 13.9655
jkcampbe, <unknown>, 1, 10000000, 2, 1.85467, 1.42302
jkcampbe, <unknown>, 1, 10000000, 1, 1.8166, 1.41955
