
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 10000000, 1000, 1.01172, 7.69515
jkcampbe, <unknown>, 2, 10000000, 900, 1.00682, 7.6922
jkcampbe, <unknown>, 2, 10000000, 800, 1.01439, 7.69346
jkcampbe, <unknown>, 2, 10000000, 700, 1.0169, 7.69226
jkcampbe, <unknown>, 2, 10000000, 600, 1.02417, 7.70889
jkcampbe, <unknown>, 2, 10000000, 500, 1.01946, 7.73092
jkcampbe, <unknown>, 2, 10000000, 400, 1.00976, 7.70475
jkcampbe, <unknown>, 2, 10000000, 300, 1.00819, 7.72076
jkcampbe, <unknown>, 2, 10000000, 200, 1.01593, 7.72327
jkcampbe, <unknown>, 2, 10000000, 100, 1.0213, 7.75796
jkcampbe, <unknown>, 2, 10000000, 90, 1.01952, 7.75327
jkcampbe, <unknown>, 2, 10000000, 80, 1.01784, 7.75191
jkcampbe, <unknown>, 2, 10000000, 70, 1.02734, 7.80438
jkcampbe, <unknown>, 2, 10000000, 60, 0.967087, 7.79216
jkcampbe, <unknown>, 2, 10000000, 50, 1.0224, 7.80311
jkcampbe, <unknown>, 2, 10000000, 40, 1.02469, 7.80321
jkcampbe, <unknown>, 2, 10000000, 30, 1.02718, 7.87492
jkcampbe, <unknown>, 2, 10000000, 20, 1.01534, 7.88143
jkcampbe, <unknown>, 2, 10000000, 10, 0.964574, 7.99378
jkcampbe, <unknown>, 2, 10000000, 9, 1.01365, 8.09334
jkcampbe, <unknown>, 2, 10000000, 8, 1.02472, 8.09221
jkcampbe, <unknown>, 2, 10000000, 7, 1.02334, 8.11516
jkcampbe, <unknown>, 2, 10000000, 6, 1.02538, 8.10659
jkcampbe, <unknown>, 2, 10000000, 5, 1.02406, 8.39702
jkcampbe, <unknown>, 2, 10000000, 4, 1.01339, 8.50281
jkcampbe, <unknown>, 2, 10000000, 3, 1.08257, 7.54257
jkcampbe, <unknown>, 2, 10000000, 2, 1.08673, 3.28471
jkcampbe, <unknown>, 2, 10000000, 1, 1.09044, 3.37371
