
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 10000000, 1000, 0.0284517
jkcampbe, <unknown>, 1, 10000000, 900, 0.0282988
jkcampbe, <unknown>, 1, 10000000, 800, 0.0283489
jkcampbe, <unknown>, 1, 10000000, 700, 0.0283418
jkcampbe, <unknown>, 1, 10000000, 600, 0.0320242
jkcampbe, <unknown>, 1, 10000000, 500, 0.0320143
jkcampbe, <unknown>, 1, 10000000, 400, 0.031964
jkcampbe, <unknown>, 1, 10000000, 300, 0.0393499
jkcampbe, <unknown>, 1, 10000000, 200, 0.0389588
jkcampbe, <unknown>, 1, 10000000, 100, 0.0530266
jkcampbe, <unknown>, 1, 10000000, 90, 0.0533141
jkcampbe, <unknown>, 1, 10000000, 80, 0.0535055
jkcampbe, <unknown>, 1, 10000000, 70, 0.0822608
jkcampbe, <unknown>, 1, 10000000, 60, 0.0830332
jkcampbe, <unknown>, 1, 10000000, 50, 0.0821105
jkcampbe, <unknown>, 1, 10000000, 40, 0.0820704
jkcampbe, <unknown>, 1, 10000000, 30, 0.118331
jkcampbe, <unknown>, 1, 10000000, 20, 0.125162
jkcampbe, <unknown>, 1, 10000000, 10, 0.245804
jkcampbe, <unknown>, 1, 10000000, 9, 0.310354
jkcampbe, <unknown>, 1, 10000000, 8, 0.312533
jkcampbe, <unknown>, 1, 10000000, 7, 0.311648
jkcampbe, <unknown>, 1, 10000000, 6, 0.311309
jkcampbe, <unknown>, 1, 10000000, 5, 0.531415
jkcampbe, <unknown>, 1, 10000000, 4, 0.588743
jkcampbe, <unknown>, 1, 10000000, 3, 0.80881
jkcampbe, <unknown>, 1, 10000000, 2, 1.37419
