
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 4, 10000000, 1000, 0.0112009
jkcampbe, <unknown>, 4, 10000000, 900, 0.0111692
jkcampbe, <unknown>, 4, 10000000, 800, 0.0111378
jkcampbe, <unknown>, 4, 10000000, 700, 0.0111578
jkcampbe, <unknown>, 4, 10000000, 600, 0.0130967
jkcampbe, <unknown>, 4, 10000000, 500, 0.0131107
jkcampbe, <unknown>, 4, 10000000, 400, 0.0131858
jkcampbe, <unknown>, 4, 10000000, 300, 0.0183725
jkcampbe, <unknown>, 4, 10000000, 200, 0.0185335
jkcampbe, <unknown>, 4, 10000000, 100, 0.0322145
jkcampbe, <unknown>, 4, 10000000, 90, 0.032334
jkcampbe, <unknown>, 4, 10000000, 80, 0.0323629
jkcampbe, <unknown>, 4, 10000000, 70, 0.0593799
jkcampbe, <unknown>, 4, 10000000, 60, 0.0597149
jkcampbe, <unknown>, 4, 10000000, 50, 0.0594115
jkcampbe, <unknown>, 4, 10000000, 40, 0.0583155
jkcampbe, <unknown>, 4, 10000000, 30, 0.113866
jkcampbe, <unknown>, 4, 10000000, 20, 0.119409
jkcampbe, <unknown>, 4, 10000000, 10, 0.305342
jkcampbe, <unknown>, 4, 10000000, 9, 0.392301
jkcampbe, <unknown>, 4, 10000000, 8, 0.392656
jkcampbe, <unknown>, 4, 10000000, 7, 0.394798
jkcampbe, <unknown>, 4, 10000000, 6, 0.391508
jkcampbe, <unknown>, 4, 10000000, 5, 0.687608
jkcampbe, <unknown>, 4, 10000000, 4, 0.765027
