
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 4, 40000000, 10000000, 1.7241
jkcampbe, <unknown>, 4, 40000000, 9000000, 1.61151
jkcampbe, <unknown>, 4, 40000000, 8000000, 1.56643
jkcampbe, <unknown>, 4, 40000000, 7000000, 1.5589
jkcampbe, <unknown>, 4, 40000000, 6000000, 1.55809
jkcampbe, <unknown>, 4, 40000000, 5000000, 1.52516
jkcampbe, <unknown>, 4, 40000000, 4000000, 1.52629
jkcampbe, <unknown>, 4, 40000000, 3000000, 1.48224
jkcampbe, <unknown>, 4, 40000000, 2000000, 1.46858
jkcampbe, <unknown>, 4, 40000000, 1000000, 1.4647
jkcampbe, <unknown>, 4, 40000000, 900000, 1.44675
jkcampbe, <unknown>, 4, 40000000, 800000, 1.4181
jkcampbe, <unknown>, 4, 40000000, 700000, 1.44996
jkcampbe, <unknown>, 4, 40000000, 600000, 1.44234
jkcampbe, <unknown>, 4, 40000000, 500000, 1.40399
jkcampbe, <unknown>, 4, 40000000, 400000, 1.45733
jkcampbe, <unknown>, 4, 40000000, 300000, 1.44748
jkcampbe, <unknown>, 4, 40000000, 200000, 1.45858
jkcampbe, <unknown>, 4, 40000000, 100000, 1.44827
jkcampbe, <unknown>, 4, 40000000, 90000, 1.46103
jkcampbe, <unknown>, 4, 40000000, 80000, 1.46689
jkcampbe, <unknown>, 4, 40000000, 70000, 1.45976
jkcampbe, <unknown>, 4, 40000000, 60000, 1.44783
jkcampbe, <unknown>, 4, 40000000, 50000, 1.45099
jkcampbe, <unknown>, 4, 40000000, 40000, 1.46513
jkcampbe, <unknown>, 4, 40000000, 30000, 1.44001
jkcampbe, <unknown>, 4, 40000000, 20000, 1.47234
jkcampbe, <unknown>, 4, 40000000, 10000, 1.46869
jkcampbe, <unknown>, 4, 40000000, 9000, 1.47251
jkcampbe, <unknown>, 4, 40000000, 8000, 1.48165
jkcampbe, <unknown>, 4, 40000000, 7000, 1.47937
jkcampbe, <unknown>, 4, 40000000, 6000, 1.48192
jkcampbe, <unknown>, 4, 40000000, 5000, 1.43462

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 4, 40000000, 1000, 1.54587
jkcampbe, <unknown>, 4, 40000000, 900, 1.53269
jkcampbe, <unknown>, 4, 40000000, 800, 1.5526
jkcampbe, <unknown>, 4, 40000000, 700, 1.55121
jkcampbe, <unknown>, 4, 40000000, 600, 1.54565
jkcampbe, <unknown>, 4, 40000000, 500, 1.56186
jkcampbe, <unknown>, 4, 40000000, 400, 1.55837
jkcampbe, <unknown>, 4, 40000000, 300, 1.5641
jkcampbe, <unknown>, 4, 40000000, 200, 1.57158
jkcampbe, <unknown>, 4, 40000000, 100, 1.60164
jkcampbe, <unknown>, 4, 40000000, 90, 1.60445
jkcampbe, <unknown>, 4, 40000000, 80, 1.6137
jkcampbe, <unknown>, 4, 40000000, 70, 1.61187
jkcampbe, <unknown>, 4, 40000000, 60, 1.61716
jkcampbe, <unknown>, 4, 40000000, 50, 1.5851
jkcampbe, <unknown>, 4, 40000000, 40, 1.6734
jkcampbe, <unknown>, 4, 40000000, 30, 1.70513
jkcampbe, <unknown>, 4, 40000000, 20, 1.78169
jkcampbe, <unknown>, 4, 40000000, 10, 2.17163
jkcampbe, <unknown>, 4, 40000000, 9, 2.23541
jkcampbe, <unknown>, 4, 40000000, 8, 2.31539
jkcampbe, <unknown>, 4, 40000000, 7, 2.51037
jkcampbe, <unknown>, 4, 40000000, 6, 2.72314
jkcampbe, <unknown>, 4, 40000000, 5, 3.09755
jkcampbe, <unknown>, 4, 40000000, 4, 3.62632
jkcampbe, <unknown>, 4, 40000000, 3, 4.80599
jkcampbe, <unknown>, 4, 40000000, 2, 7.35502
jkcampbe, <unknown>, 4, 40000000, 1, 7.25259
