
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 40000000, 10000000, 2.44536
jkcampbe, <unknown>, 2, 40000000, 9000000, 2.34591
jkcampbe, <unknown>, 2, 40000000, 8000000, 2.31371
jkcampbe, <unknown>, 2, 40000000, 7000000, 2.31216
jkcampbe, <unknown>, 2, 40000000, 6000000, 2.31258
jkcampbe, <unknown>, 2, 40000000, 5000000, 2.32226
jkcampbe, <unknown>, 2, 40000000, 4000000, 2.32675
jkcampbe, <unknown>, 2, 40000000, 3000000, 2.32291
jkcampbe, <unknown>, 2, 40000000, 2000000, 2.32021
jkcampbe, <unknown>, 2, 40000000, 1000000, 2.29917
jkcampbe, <unknown>, 2, 40000000, 900000, 2.29665
jkcampbe, <unknown>, 2, 40000000, 800000, 2.30323
jkcampbe, <unknown>, 2, 40000000, 700000, 2.30161
jkcampbe, <unknown>, 2, 40000000, 600000, 2.30016
jkcampbe, <unknown>, 2, 40000000, 500000, 2.3039
jkcampbe, <unknown>, 2, 40000000, 400000, 2.31086
jkcampbe, <unknown>, 2, 40000000, 300000, 2.32209
jkcampbe, <unknown>, 2, 40000000, 200000, 2.32498
jkcampbe, <unknown>, 2, 40000000, 100000, 2.3447
jkcampbe, <unknown>, 2, 40000000, 90000, 2.34737
jkcampbe, <unknown>, 2, 40000000, 80000, 2.34885
jkcampbe, <unknown>, 2, 40000000, 70000, 2.35508
jkcampbe, <unknown>, 2, 40000000, 60000, 2.35917
jkcampbe, <unknown>, 2, 40000000, 50000, 2.35274
jkcampbe, <unknown>, 2, 40000000, 40000, 2.35984
jkcampbe, <unknown>, 2, 40000000, 30000, 2.36615
jkcampbe, <unknown>, 2, 40000000, 20000, 2.37245
jkcampbe, <unknown>, 2, 40000000, 10000, 2.38585
jkcampbe, <unknown>, 2, 40000000, 9000, 2.38571
jkcampbe, <unknown>, 2, 40000000, 8000, 2.39673
jkcampbe, <unknown>, 2, 40000000, 7000, 2.4042
jkcampbe, <unknown>, 2, 40000000, 6000, 2.40527
jkcampbe, <unknown>, 2, 40000000, 5000, 2.40775
jkcampbe, <unknown>, 2, 40000000, 4000, 2.4189
jkcampbe, <unknown>, 2, 40000000, 3000, 2.41719
jkcampbe, <unknown>, 2, 40000000, 2000, 2.43506
jkcampbe, <unknown>, 2, 40000000, 1000, 2.45691
jkcampbe, <unknown>, 2, 40000000, 900, 2.45195
jkcampbe, <unknown>, 2, 40000000, 800, 2.44869
jkcampbe, <unknown>, 2, 40000000, 700, 2.46217
jkcampbe, <unknown>, 2, 40000000, 600, 2.46743
jkcampbe, <unknown>, 2, 40000000, 500, 2.47212
jkcampbe, <unknown>, 2, 40000000, 400, 2.48752
jkcampbe, <unknown>, 2, 40000000, 300, 2.49503
jkcampbe, <unknown>, 2, 40000000, 200, 2.51004
jkcampbe, <unknown>, 2, 40000000, 100, 2.56757
jkcampbe, <unknown>, 2, 40000000, 90, 2.57889
jkcampbe, <unknown>, 2, 40000000, 80, 2.59312
jkcampbe, <unknown>, 2, 40000000, 70, 2.61225
jkcampbe, <unknown>, 2, 40000000, 60, 2.63201
jkcampbe, <unknown>, 2, 40000000, 50, 2.6676
jkcampbe, <unknown>, 2, 40000000, 40, 2.71146
jkcampbe, <unknown>, 2, 40000000, 30, 2.8008
jkcampbe, <unknown>, 2, 40000000, 20, 2.96784
jkcampbe, <unknown>, 2, 40000000, 10, 3.57956
jkcampbe, <unknown>, 2, 40000000, 9, 3.72858
jkcampbe, <unknown>, 2, 40000000, 8, 3.89117
jkcampbe, <unknown>, 2, 40000000, 7, 4.13836
jkcampbe, <unknown>, 2, 40000000, 6, 4.58942
jkcampbe, <unknown>, 2, 40000000, 5, 5.17475
jkcampbe, <unknown>, 2, 40000000, 4, 5.96789
jkcampbe, <unknown>, 2, 40000000, 3, 7.87311
jkcampbe, <unknown>, 2, 40000000, 2, 12.0758

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 40000000, 1000, 2.48537
jkcampbe, <unknown>, 2, 40000000, 900, 2.4938
jkcampbe, <unknown>, 2, 40000000, 800, 2.50317
jkcampbe, <unknown>, 2, 40000000, 700, 2.50246
jkcampbe, <unknown>, 2, 40000000, 600, 2.49257
jkcampbe, <unknown>, 2, 40000000, 500, 2.50531
jkcampbe, <unknown>, 2, 40000000, 400, 2.52408
jkcampbe, <unknown>, 2, 40000000, 300, 2.5295
jkcampbe, <unknown>, 2, 40000000, 200, 2.55725
jkcampbe, <unknown>, 2, 40000000, 100, 2.60862
jkcampbe, <unknown>, 2, 40000000, 90, 2.62148
jkcampbe, <unknown>, 2, 40000000, 80, 2.62689
jkcampbe, <unknown>, 2, 40000000, 70, 2.64332
jkcampbe, <unknown>, 2, 40000000, 60, 2.67192
jkcampbe, <unknown>, 2, 40000000, 50, 2.70925
jkcampbe, <unknown>, 2, 40000000, 40, 2.76251
jkcampbe, <unknown>, 2, 40000000, 30, 2.84516
jkcampbe, <unknown>, 2, 40000000, 20, 3.00716
jkcampbe, <unknown>, 2, 40000000, 10, 3.63064
jkcampbe, <unknown>, 2, 40000000, 9, 3.73838
jkcampbe, <unknown>, 2, 40000000, 8, 3.96025
jkcampbe, <unknown>, 2, 40000000, 7, 4.20481
jkcampbe, <unknown>, 2, 40000000, 6, 4.58885
